item_id,name,category_name,description,taxonomy_levels,search_key,images
442731c2-144b-4c5c-b81e-e0cf9dfa9630,Macarrão Pena com Ovos Adria 500g,Alimentos Básicos,Pacote 500g,"['MERCEARIA', 'MASSAS_SECAS', 'MASSA_MACARRAO']",Macarrão Pena com Ovos Adria 500g Alimentos Básicos Pacote 500g MERCEARIA MASSAS_SECAS MASSA_MACARRAO,"['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202210182253_3h93mu9eg9y.jpg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202210182253_06c38y2upker.jpg']"
4a6d4a8f-c1bf-4457-a448-4a3b5e1eb20c,Goplana Squares Pistache 200g,Doces e Sobremesas,Embalagem 200g,"['OUTROS', 'OUTROS', 'OUTROS']",Goplana Squares Pistache 200g Doces e Sobremesas Embalagem 200g OUTROS OUTROS OUTROS,[]
5380e263-c202-45cf-8eae-81e54573f122,Creme para Pentear Boom Definição Intensa Seda 350ml,Higiene e Cuidados Pessoais,Embalagem 350ml,"['BELEZA_ESTETICA_HIGIENE_PESSOAL', 'CUIDADOS_CABELO', 'FINALIZADORES_MODELADORES']",Creme para Pentear Boom Definição Intensa Seda 350ml Higiene e Cuidados Pessoais Embalagem 350ml BELEZA_ESTETICA_HIGIENE_PESSOAL CUIDADOS_CABELO FINALIZADORES_MODELADORES,"['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202410181555_rb46kmje7n.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202410181555_wf48p9k1ofd.jpeg']"
595ce305-ddf5-49fc-9a8c-b50a9ccf6267,Desodorante Invisible For Black & White Aerosol Nivea 200ml Pague 150ml,Higiene e Cuidados Pessoais,Embalagem 200ml,"['BELEZA_ESTETICA_HIGIENE_PESSOAL', 'HIGIENE_PESSOAL', 'DESODORANTE']",Desodorante Invisible For Black & White Aerosol Nivea 200ml Pague 150ml Higiene e Cuidados Pessoais Embalagem 200ml BELEZA_ESTETICA_HIGIENE_PESSOAL HIGIENE_PESSOAL DESODORANTE,"['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202401151659_ijubkmovu1.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202401151659_hsg8c8jwb5u.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202401151659_0s7q18g3wucm.jpeg']"
5e2db3a9-1a2c-4462-8aa1-1ed045122e12,Ração Úmida para Cães Filhotes Frango Ao Molho Pedigree 100g,Pet Shop,"• Refeição 100% Completa.
• Sem conservantes, sem corantes e sem aromas artificiais..
• Suculentos pedacinhos cozidos a vapor.
• Balanço ideal de fibras.
• Proporciona fezes firmes e fáceis de limpar.
• Contribui para crescimento seguro e saudável.
• Fonte de cálcio e fósforo.","['PET', 'RACAO_ALIMENTACAO', 'ALIMENTACAO_CAES']","Ração Úmida para Cães Filhotes Frango Ao Molho Pedigree 100g Pet Shop • Refeição 100% Completa.
• Sem conservantes, sem corantes e sem aromas artificiais..
• Suculentos pedacinhos cozidos a vapor.
• Balanço ideal de fibras.
• Proporciona fezes firmes e fáceis de limpar.
• Contribui para crescimento seguro e saudável.
• Fonte de cálcio e fósforo. PET RACAO_ALIMENTACAO ALIMENTACAO_CAES","['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202411052013_xi2kzyur53q.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202411052013_4fw60p83gr.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202411052013_npkphkq1zhd.png', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202411052013_j480sttom2o.jpeg']"
64646213-fd27-4df7-92bd-70b34a1bf033,Páprica Doce Defumada em Pó Sol Dos Andes 90g,"Molhos, Condimentos e Conservas",Embalagem 90g,"['MERCEARIA', 'MOLHOS_CONDIMENTOS', 'ERVAS_ESPECIARIAS']","Páprica Doce Defumada em Pó Sol Dos Andes 90g Molhos, Condimentos e Conservas Embalagem 90g MERCEARIA MOLHOS_CONDIMENTOS ERVAS_ESPECIARIAS",['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202210202329_oegmlq73s6a.jpg']
69a6ff46-09a0-4875-a9c0-517af24b6ef0,Queijo Minas Padrão Fatiado Président 150g,Frios e Laticínios,,"['FRIOS_LATICINIOS', 'QUEIJOS', 'QUEIJO_MINAS']",Queijo Minas Padrão Fatiado Président 150g Frios e Laticínios FRIOS_LATICINIOS QUEIJOS QUEIJO_MINAS,['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202404051104_dqre0cmrx6h.png']
81224224-5628-4c2a-9592-3084995961fd,Arroz Solito 1kg Integral,Alimentos Básicos,Pacote 1kg,"['MERCEARIA', 'GRAOS_CEREAIS', 'ARROZ']",Arroz Solito 1kg Integral Alimentos Básicos Pacote 1kg MERCEARIA GRAOS_CEREAIS ARROZ,['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202210182251_dzsfvclr3cb.jpg']
8d57346c-02c5-4f38-8320-ce26c64fc42c,Farinha de Linhaça Marrom Integral Vitalin Embalagem 150g,Alimentos Básicos,Embalagem 150g,"['MERCEARIA', 'FARINACEOS_AMIDO', 'FARINHA']",Farinha de Linhaça Marrom Integral Vitalin Embalagem 150g Alimentos Básicos Embalagem 150g MERCEARIA FARINACEOS_AMIDO FARINHA,['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202210180110_usly40t3zc.jpg']
95e40e8e-d157-41d3-86d8-3b105dda5c9a,Hamburger de Costela Wessel 360g,Congelados e Resfriados,Embalagem 360g,"['ALIMENTOS_PREPARADOS', 'PRATOS', 'CORTES_BOVINOS']",Hamburger de Costela Wessel 360g Congelados e Resfriados Embalagem 360g ALIMENTOS_PREPARADOS PRATOS CORTES_BOVINOS,['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202306191350_nwq337zqhtf.jpg']
9f7f700f-0a38-45f2-b50b-d96f2ada1f45,Pão de Milho Seven Boys 450g,Padaria,Pacote 500g,"['MERCEARIA', 'PAES', 'OUTROS']",Pão de Milho Seven Boys 450g Padaria Pacote 500g MERCEARIA PAES OUTROS,['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202410021509_2rjdks0e4sc.jpeg']
b3ee90ef-e78c-4ca1-860f-b8eaa752103d,Escova Dental Extra Clean Colgate 3un,Higiene e Cuidados Pessoais,,"['BELEZA_ESTETICA_HIGIENE_PESSOAL', 'HIGIENE_BUCAL', 'ESCOVA_DENTAL']",Escova Dental Extra Clean Colgate 3un Higiene e Cuidados Pessoais BELEZA_ESTETICA_HIGIENE_PESSOAL HIGIENE_BUCAL ESCOVA_DENTAL,"['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202411241809_zgrl8k2d6i.png', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202411241809_4rw2ep6h2x.png', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202411241809_o39wsoaaxrh.png']"
baeb2265-990a-4bd3-8fbf-6ad9699aba06,Quejo Mussarela Fatiado Classic Carrefour 150g,Frios e Laticínios,Embalagem 150g,"['FRIOS_LATICINIOS', 'QUEIJOS', 'QUEIJO_MOZZARELLA']",Quejo Mussarela Fatiado Classic Carrefour 150g Frios e Laticínios Embalagem 150g FRIOS_LATICINIOS QUEIJOS QUEIJO_MOZZARELLA,['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202309191429_1recuozgmh6.jpg']
bfb7fd54-a731-44a6-9277-c06a8ad290ee,Coxinha de Frango Congelada Carrefour 300g,Congelados e Resfriados,Embalagem 300g,"['ALIMENTOS_PREPARADOS', 'SALGADINHOS_APERITIVOS', 'COXINHAS']",Coxinha de Frango Congelada Carrefour 300g Congelados e Resfriados Embalagem 300g ALIMENTOS_PREPARADOS SALGADINHOS_APERITIVOS COXINHAS,['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202202091605_6bgll1oiea5.jpg']
c5c6f713-55bf-4363-a457-4335dea2f53a,Escova de Dente Zig Zag Carvão Ativado Colgate 2un,Higiene e Cuidados Pessoais,,"['BELEZA_ESTETICA_HIGIENE_PESSOAL', 'HIGIENE_BUCAL', 'OUTROS']",Escova de Dente Zig Zag Carvão Ativado Colgate 2un Higiene e Cuidados Pessoais BELEZA_ESTETICA_HIGIENE_PESSOAL HIGIENE_BUCAL OUTROS,"['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202301271016_qzdkrvpsmul.jpg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202301271016_pvvtjvuxwz8.jpg']"
cc8910f8-9a15-4044-83a2-0b93ddcb8e3e,Sopão de Carne com Legumes Maggi 200 g,"Molhos, Condimentos e Conservas",Embalagem 200g,"['ALIMENTOS_PREPARADOS', 'PRATOS', 'OUTROS']","Sopão de Carne com Legumes Maggi 200 g Molhos, Condimentos e Conservas Embalagem 200g ALIMENTOS_PREPARADOS PRATOS OUTROS","['https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202402200931_gxgyfoywbcj.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202402200931_zey5ut7nbhi.jpeg', 'https://static.ifood-static.com.br/image/upload/t_low/pratos/820af392-002c-47b1-bfae-d7ef31743c7f/202402200931_54voabgvsgr.jpeg']"
